chromosome	position 1	position 2	2.R2	1.R1	2.R1	1.R2	3.R2	3.R1	1.R3
Y	548	17947	159	514	346	178	200	343	268
Y	685	13563	260	1359	412	305	506	781	322
Y	7398	8083	496	2019	1374	806	877	2333	579
Z	6439	15344				1229			408
Z	3425	25756				560			190
X	3014	6302	652	890			1330	1287	1773
Z	22468	26578				1229			358
W	8768	9316	431	853		471	763	876	683
Y	2192	2740	387	1610	770	578	899	1525	533
Y	18632	16714	326	985	524	353	649	914	432
X	2603	12056	291	333			557	427	597
Y	6987	20961	299	1145	564	362	815	1183	438
Z	17262	18769				1310			464
Z	5480	18358				993			340
Z	6850	27263				775			218
Z	21783	25345				1353			449
X	4932	5206	809	1368			1351	1913	2264
Z	1370	3288				1448			575
Z	21372	21372				1362			324
Z	15618	15618				2299			755
Z	3425	10686				1572			583
X	9042	11645	620	658			1073	1007	1401
Y	822	16029	109	500	369	146	255	414	164
Y	5480	7946	334	1966	778	615	979	1728	696
Z	16851	21920				1145			384
X	3151	12741	300	383			614	481	608
Y	7398	20824	293	1136	799	501	719	1257	387
X	6713	13015	587	846			858	1328	1125
W	411	1781	508	840		511	828	709	850
Z	18221	22605				1456			407
Z	22605	25345				1268			523
Y	17536	15755	274	1114	577	438	662	1122	407
Z	3151	18906				880			269
Z	10138	11097				1938			580
Y	274	13837	208	752	444	256	344	604	364
Y	2466	20550	192	582	322	184	315	608	279
Z	16714	22057				1180			416
X	7261	15344	413	569			895	828	914
X	13837	14796	661	656			1058	1320	1149
Z	10001	26441				543			220
Y	8220	14248	379	1497	859	560	713	1367	492
Z	13015	14111				1390			586
Z	9316	19180				1079			413
Z	5754	26852				329			133
X	137	15481	170	223			331	374	301
Z	3562	23153				631			150
Z	23564	24386				1702			638
X	6850	13015	636	811			1035	946	1289
Y	12330	19865		1053	607	456	690	1013	404
Z	4521	14933				1075			403
W	7261	7535	602	1285		667	906	998	889
Y	8220	20002	270	1240	514	378	636	1128	400
Y	4247	7809	348	1471	810	544	822	1603	548
Y	959	1918	326	1110	600	468	817	1253	393
X	3425	9864	638	785			1059	1155	1330
Z	0	18221				415			237
Z	6987	26030				451			169
Y	2877	16440	198	836	387	263	487	618	264
Z	13974	23153				941			361
X	2603	12330	294	329				582	605
Z	4384	24934				447			173
Z	10823	11919				1498			614
Z	6850	16851				1017			342
Y	3425	5480	340	1328	946	609	697	1475	595
Z	2603	14796				1255			316
Z	14796	20961				1454			418
Z	5617	24797				475			153
Z	4384	17810				1299			362
Y	2192	7809	364	1266	795	452	716	1161	449
Z	2329	7672				1891			511
Z	2466	15755				1316			494
Z	1370	22879				690			210
Y	10138	17673	268	938	462	338	424	872	291
X	10549	15755	594	680			932	1091	1259
Z	25482	25893				1620			549
Y	137	3836	363	1280	753	419	678	1051	575
Y	1781	20824	175	674	265	198	235	565	182
X	548	3562	463	594			1193	1438	971
Z	3562	20961				744			234
Z	6713	7946				1519			523
Z	7124	24660				1008			328
Z	13289	21920				1113			330
Z	2740	12056				1194			415
Y	3151	15070	249	969	435	295	460	729	368
X	822	15755	178	240			274	402	358
Y	21783	15755	307	1342	602	328	634	959	396
X	8083	8631	646	873			1319	1402	1557
Z	21098	25756				1122			457
X	0	7946	310	406			641	643	694
Y	0	19865		408	241	144	201	344	145
X	5891	7946	970	1081			1509	1405	1496
Y	6439	13289	334	1435	679	374	552	1377	419
W	1233	2877	352	661		411	863	679	611
X	685	14796	198	405			503	492	445
Z	6987	24523				1031			252
Z	4521	8631				1390			574
Z	5754	13426				1302			450
Y	5617	10275	336	1538	615	404	615	1070	422
Z	4110	23564				554			161
Z	22331	27126				970			392
Z	14522	23975				1032			339
X	6028	8494	925	1184			1183	1664	1584
Y	12741	19865		1780	621	663	900	1165	531
Y	3973	11371	276	1145	485	392	621	859	398
X	7809	14933	448	504			667	760	871
Z	4110	15070				1475			388
W	10138	10823	679	1281		588	986	1089	1144
Y	3014	19317	122	392	243	134	231	376	143
X	1233	8494	395	485			586	619	710
Z	1233	27126				607			162
Z	12467	12741				1350			575
Y	20961	17536	358	1166	566	478	628	1149	492
Y	2603	15618	204	909	462	296	488	718	298
X	8905	15344	393	483			709	750	892
Z	19180	24660				1097			298
Z	5754	11234				1605			554
Z	2192	9727				1222			380
Y	5754	11371	326	1236	549	506	729	1468	471
X	9453	15755	433	472			726	678	780
Z	4384	20550				713			276
X	15344	16166	591	840			1158	1209	1265
Y	10412	19865		1157	496	375	499	1397	432
Z	6439	9179				1138			472
X	11234	14659	701	900			1222	1112	1576
Z	1918	26304				443			122
Z	8083	18632				815			332
Z	10138	10549				1989			594
Y	19043	16303	318	1204	589	415	649	1097	397
Y	4521	14111	314	1153	727	406	664	980	428
Z	5617	24934				617			147
X	1370	11371	384	468			662	892	919
Z	4110	16988				1147			359
Y	16851	16851	356	1509	706	552	743	1231	534
Y	20961	18632	331	1145	601	463	692	1534	439
X	15481	16166	551	716			1123	931	1300
Z	10138	14933				1699			598
X	8083	8220	772	833			1357	1413	1332
Y	1644	17399	131	573	285	200	386	569	182
Y	11508	14522	484	1630	802	553	800	1232	503
Y	10823	19317	245	1067	510	318	574	993	327
Z	14796	25756				1176			325
Z	11371	14248				1349			551
X	137	8083	312	460			705	444	745
Z	13152	17125				1437			441
Z	685	25071				698			160
Z	822	8905				1057			382
Z	14796	18769				1334			524
X	274	411	699	921			1119	1196	1497
Y	9590	11645	419	1977	761	650	1053	2088	549
Y	11919	14933	442	1695	793	620	784	1392	679
Z	5206	14796				1206			378
Y	2192	9864	305	1157	726	532	781	916	361
Z	16440	17536				1321			492
Z	22468	23701				1334			391
Y	5754	5891	480	2245	949	677	1001	1941	633
Y	2877	13700	172	901	378	272	373	671	311
Y	19317	15618	381	1289	674	422	651	1245	387
W	4795	7124	448	1080		564	723	734	925
Y	2192	8220	301	1155	635	421	604	1287	465
Z	13837	22468				1376			408
Z	6165	23290				458			193
Z	8631	26989				579			182
W	2740	7535	308	580		360	616	561	567
X	5069	10412	559	779			1143	1071	1140
Z	4384	20276				764			279
Y	3288	18495	124	530	253	167	269	370	149
Z	5069	11645				1518			582
W	3973	10549	288	394		244	404	392	413
Y	685	19043	184	694	253	264	218	489	187
Z	17673	22468				1503			393
W	1233	7946	257	412		248	278	352	351
Z	2055	13426				985			382
Z	822	8768				1146			405
Y	20276	20002	516	1619	1156	706	1291	2039	554
Z	3288	11371				1528			551
Z	11508	17536				1390			494
X	4521	6439	921	1053			1459	1590	1781
Z	15481	26030				996			345
Y	20961	20413	505	2655	1183	695	1061	2279	835
W	8494	8768	486	1057		460	818	805	732
Z	9316	13015				1383			658
Z	10960	22194				990			348
Z	9042	23427				660			297
Y	12741	19180	356	1416	567	429	960	1474	437
Z	14796	18084				1368			465
Z	12741	14522				1406			494
Z	16440	20002				1071			403
Y	2329	3836	286	1142	598	451	572	1268	503
Z	3288	22057				916			288
Z	19043	20824				1248			404
Z	2877	19043				659			319
Z	1370	14796				845			365
W	959	4795	274	747		388	526	556	621
Z	8768	24797				621			223
Y	7672	7672	600	2674	1088	842	1139	2352	842
X	3562	10823	439	617			731	874	823
Y	1507	2055	382	1674	757	491	690	1248	455
Y	1370	4658	348	1180	543	383	654	1066	423
Z	5617	24523				464			142
Z	7261	13289				1093			309
Y	4658	13015	261	1122	422	472	712	1452	488
Y	822	6028	321	1646	750	543	992	1283	454
W	1507	7261	286	565		299	477	561	448
Y	4932	8083	387	1893	853	554	992	1911	638
Y	959	13015	234	1070	406	421	494	954	339
W	3014	6850	394	683		462	541	680	635
Z	3973	24797				417			141
Y	2055	12193	286	1136	507	274	690	797	318
X	2740	13152	251	308			448	430	667
Z	22468	22879				1420			517
Y	6439	19454	164	821	350	318	404	725	266
Y	9727	18632	221	940	351	297	508	1035	353
Z	9316	23153				637			224
Z	18495	20413				1511			391
Z	7809	13974				1266			377
Z	1370	20687				377			147
Y	2877	14796	232	1065	523	389	488	806	286
Y	9453	18084	229	924	412	279	438	844	332
Y	3425	11645	226	962	481	355	481	889	280
Z	4521	17262				1062			391
Y	9727	13563	305	1197	640	546	983	1316	458
Y	8357	19454	309	1457	504	365	566	1397	430
Z	822	20413				389			160
Z	1370	23701				605			214
X	274	12330	397	286				745	823
Z	21235	24249				920			410
Z	15755	16303				2057			696
Y	3288	12467	206	1272	553	325	612	1092	388
Y	5480	12878	283	1486	626	558	788	1102	527
Z	1644	14659				906			320
X	2329	8357	511	551			671	737	747
W	6850	8220	469	819		481	784	903	817
W	1507	4521	348	648		385	625	533	664
X	1644	12056	261	567			650	733	718
Z	20687	22742				1059			345
Y	2603	17399	146	667	206	194	335	487	173
Z	18084	25345				1047			393
Y	6165	19317	345	928	410	352	638	1137	413
Y	5891	20002	282	1029	413	299	603	1148	391
Z	1233	5343				1373			540
Y	9864	15618	367	1427	800	488	825	1320	518
X	1644	9864	383	451			662	682	822
Y	6576	18495	201	764	380	253	570	840	298
Y	13426	17673	309	1421	817	401	802	1278	391
Y	8494	14111	320	1388	724	496	736	1034	462
Z	137	18084				548			200
X	6850	7809	799	886			1357	1473	1746
Z	7946	15344				1657			490
Y	21646	16166	325	1308	747	401	723	1086	400
W	1781	4795	343	745		484	623	529	758
Y	7809	11645	398	1670	799	542	819	1509	548
Z	3973	26989				275			78
W	2192	8768	167	352		187	265	263	279
Z	10686	27126				648			197
X	9179	9179	743	895			1424	1689	2143
X	274	1507	635	897			1261	1229	1269
Z	9316	20687				877			383
Z	13152	20413				1007			371
Z	5891	13837				1330			573
Z	18358	26030				1075			366
X	6302	11371	504	669			1208	919	1392
Y	3836	15755	212	666	426	258	356	656	224
Z	15755	21235				1203			359
Z	15618	20002				1286			328
Z	22605	26167				1186			380
Y	685	18358	138	468	335	178	276	389	264
Y	274	17399	93	256	189	114	208	355	100
X	8768	9316	810	968			1276	1467	1885
Z	9179	20139				1068			304
Y	1781	11234	306	1283	563	327	560	1302	344
Y	3973	4932	384	1592	661	596	1069	1443	471
Z	6987	19454				552			255
Z	4110	4110				2122			703
Z	6987	18769				686			223
Z	3836	11919				1518			449
Z	1233	6713				1513			419
Y	15755	15481	441	1849	858	738	911	2003	490
Z	17810	23290				1192			380
Y	13974	20687	291	1225	613	520	790	1035	363
Z	14385	20687				1249			419
Z	24934	26989				1360			476
Y	2740	11645	268	1205	596	350	711	931	509
Y	3562	21235	100	502	173	168	210	349	117
X	8083	13015	415	652			885	828	1178
Y	1781	14385	195	747	373	235	460	969	246
W	3151	5480	440	846		474	695	731	699
Y	959	6439	357	1415	658	453	766	1033	461
Y	10412	11508	509	1661	851	621	882	1866	657
Z	8768	17947				972			354
Y	685	6713	346	1054	663	480	552	1169	358
Y	12330	19728	337	1517	611	400	582	1016	459
Y	2192	16851	155	735	410	200	374	644	223
W	5891	9316	392	627		348	504	567	715
Y	3699	12467	198	902	438	347	562	970	324
Z	8220	16440				1579			502
Y	7398	17536	191	759	445	302	500	773	301
Z	685	4932				1206			431
Z	16440	18084				1335			458
Z	15481	20276				1190			412
Z	13974	14385				1781			580
Y	5891	15207	319	1034	499	285	538	1020	312
Z	6850	19865				725			216
X	14796	15344	621	936			1070	1442	1628
Y	14385	15618	374	1629	774	525	1004	1381	472
X	10412	12604	637	734			1326	1378	1460
Y	18495	17262	299	1200	461	432	628	1201	322
Z	7946	26304				667			263
Z	20413	21920				1065			418
Y	0	5069		1511	645	522	806	1435	461
X	6713	13152	467	743			858	868	1191
Z	2055	11097				1016			355
Z	1644	13426				1023			301
Y	10823	16714	433	1311	681	459	1016	1215	446
Y	6028	6713	528	1715	1082	637	1101	1972	594
Z	16166	20139				1185			405
Z	21372	26441				1028			292
Y	274	21372	21	99	243	81	210	486	158
Y	2740	5206	281	1138	578	428	645	1074	464
Z	3288	21509				885			263
Y	12467	18358	246	1061	561	430	557	760	411
Y	959	11097	247	839	335	294	385	919	316
Z	1233	10549				1051			336
Y	11919	14796	421	1980	901	599	961	1367	626
Z	15070	26167				941			384
X	10549	10960	873	1210			1898	1574	1874
Y	6850	7946	499	1775	1135	705	1332	1816	579
Y	3699	19728	206	930	344	256	480	747	261
Y	12193	21098	370	1413	597	603	809	1288	451
X	10412	15344	620	702			1025	1110	1313
Z	7946	20413				641			304
Z	3151	12330				1062			329
Y	4658	20824	115	575	224	239	264	465	160
X	3836	5480	865	1032			1820	1973	1839
Z	2055	17947				762			205
Y	1781	2877	343	1682	726	551	800	1335	464
Z	13700	21098				1228			354
X	5069	10001	641	962			1572	1418	1594
Y	2603	16029	203	956	455	340	453	615	375
Y	3425	18358	156	484	308	221	286	565	213
Z	10549	24523				691			202
W	7946	10275	599	834		596	834	840	708
Z	26578	27263				1660			589
Y	3562	18084	200	566	370	263	309	691	230
Y	2055	4384	308	1080	658	451	605	1230	540
X	2603	9179	573	561			872	851	1133
Z	685	10275				959			335
Y	6987	11508	447	2227	948	627	845	1843	631
Y	548	13289	233	1024	481	332	276	715	354
Z	6713	23838				662			278
Z	15207	17262				1623			640
Y	12878	17673	274	1293	602	419	701	1202	459
Y	12878	17262	365	1006	645	431	625	1130	365
Z	10138	18632				1122			516
Y	5206	13015	241	1324	446	379	760	1345	504
X	2329	4110	561	765			1124	1361	1158
Z	11645	26441				696			208
Y	6165	16851	228	678	427	288	441	745	320
Z	3425	18906				836			261
W	1644	4795	335	817		397	460	507	723
Z	2055	11371				1139			453
W	3014	6713	353	718		386	720	756	717
W	2192	5069	526	799		359	652	496	664
Y	10549	17536	247	953	487	326	480	876	319
Y	4384	10138	313	1047	526	394	565	1163	377
X	1644	9316	421	378			605	602	871
W	7672	10275	552	982		555	870	971	887
Y	11508	14111	352	1452	785	417	765	1429	525
Y	411	14933	129	545	256	155	324	488	176
X	1644	14111	223	273			264	347	324
X	1233	3151	512	738			1055	1333	1009
Z	10549	13015				1450			560
Z	5343	15755				1004			417
X	3288	7261	569	667			1067	1041	1099
Y	2329	8220	349	1062	568	414	613	936	419
Z	822	25619				167			60
Z	11371	20139				1110			362
W	1507	6302	232	555		246	489	410	407
Z	13974	21646				1042			372
X	1096	5206	586	575			907	949	1020
Z	1233	11234				1046			371
Z	18221	20687				1245			356
Z	7124	14248				946			399
Y	13289	13700	428	1842	777	588	957	1991	573
Z	26578	26578				1865			557
Z	4795	23016				680			179
Z	2877	22879				564			188
Z	4247	23975				600			136
Y	13152	21783	281	1158	583	401	715	973	415
Z	685	14522				618			326
Z	4384	13015				1266			400
Z	4795	12193				1363			452
W	9042	9727	378	1030		603	731	838	880
Y	822	15755	150	413	242	214	262	505	130
X	1644	10686	403	631			880	1001	884
X	8494	14933	445	526			674	769	753
Z	18495	23427				923			345
Z	11371	12330				1431			489
Z	1781	21646				431			137
W	8220	9864	477	927		470	748	774	560
Z	16577	22879				1266			444
Z	1233	5754				1171			400
X	411	2055	476	720			981	1050	1251
Y	10001	11782	436	2124	807	644	1069	1698	623
Y	18221	14933	281	1196	626	444	681	1311	430
Z	6028	18358				1133			324
W	2740	10138	327	597		302	477	436	520
Y	548	2740	274	1130	505	433	746	1329	364
W	6576	6987	663	1185		747	1181	1271	976
Z	2192	16166				1425			444
Z	20824	26441				1012			313
Z	7672	18632				734			262
Y	3973	8220	395	1566	779	471	784	1594	568
X	3836	14385	329	510			619	742	725
Y	9453	13563	335	1206	619	526	860	1545	428
Z	15618	23975				1437			630
Z	3151	4658				1849			590
X	411	9179	351	349			486	603	633
Y	5617	10138	337	1497	790	469	711	1283	462
Y	685	4110	391	1348	809	490	726	1101	497
Z	3425	15070				1478			433
X	822	7261	630	561			915	954	1141
Y	822	21235	61	160	123	62	105	126	42
X	5069	14522	295	433			965	716	807
Z	11371	14659				2079			602
Y	3836	15618	181	651	467	233	337	631	255
Z	6987	16714				992			400
Z	12193	19180				1410			382
Z	10823	21235				1174			350
Z	822	26852				453			126
Z	18084	25208				1182			363
Z	14522	14659				2011			703
W	1781	3151	436	699		450	671	562	648
Z	22879	25345				1558			482
Y	13426	14659	434	1420	779	602	975	2010	543
Z	6165	7124				1376			456
Z	20276	23701				1116			376
Z	14659	20824				1118			377
Z	11782	18221				1229			442
Z	13974	24797				784			350
Y	6576	16851	283	1127	606	368	510	1349	392
Z	14796	23290				905			377
X	9727	15344	436	558			700	870	756
X	1233	14933	191	245			669	518	592
Y	3973	20002	140	840	418	274	379	689	258
Y	6987	6987	640	2471	1277	974	1445	2719	963
Z	26715	27126				1346			548
W	5754	9590	425	645		322	704	639	581
Z	8357	10412				1207			431
Z	2055	10823				1177			418
Z	4384	13563				1346			432
Y	4658	17262	143	620	300	202	329	488	242
Y	8631	21509	226	1048	513	365	587	1012	432
W	5891	6302	616	1441		673	1071	1088	1101
W	3699	4795	689	1035		539	880	999	966
X	7398	13837	411	488			689	774	874
Z	3151	26441				346			83
Y	17536	17262	247	1087	590	341	504	951	379
Y	5343	16714	172	575	317	229	365	570	223
Z	8083	13289				1261			422
Y	13426	19728	419	1532	683	517	1099	1569	575
Y	13289	16988	307	1040	551	446	661	906	363
Y	1233	15892	155	516	245	140	293	505	181
Z	9590	17947				1121			429
Z	22879	25071				1417			416
X	1370	13837	190	163			266	290	379
Y	12467	14796	444	1554	988	640	857	1477	586
Z	1644	22194				486			124
Y	2877	20002	116	474	185	118	219	427	132
Z	4932	24934				419			172
Z	16029	17536				1583			626
Y	1644	9042	269	1429	743	470	655	1182	455
X	1233	15755	154	235			299	397	526
Y	822	12604	206	969	315	390	520	936	385
Y	14522	20961	338	1520	666	476	666	1152	493
Z	7809	8905				1553			571
Z	18358	18906				1461			407
Y	4932	20139	154	651	258	192	409	538	254
Z	7124	8494				1604			499
Y	3836	4795	386	1503	773	625	751	1675	553
Z	3014	15618				974			402
Y	6850	12878	390	1511	780	440	808	1149	412
Z	11919	26715				687			226
Z	3699	14796				1227			505
Z	137	18906				382			156
Z	822	959				2007			663
Z	21235	21509				1070			447
Y	10549	12878	403	1356	832	501	740	1510	479
Z	7261	9590				1266			445
Y	10549	17673	261	954	366	346	469	813	328
Z	9316	21920				1111			290
Z	14933	23153				1131			452
Z	8631	18358				886			360
W	2329	5206	436	796		382	666	615	673
Z	2740	18221				609			251
Y	2192	15755	191	798	295	257	403	762	314
X	6165	6439	1185	1314			1979	1979	2628
Z	4247	6028				1762			603
Z	5069	24660				559			179
X	4932	10138	599	886			1351	1388	1509
Z	13426	26167				895			262
Z	4932	5069				1805			694
Z	5206	13289				1190			461
Z	16166	20550				1134			379
X	3425	7946	621	670			1144	1092	1334
Y	10960	16303	357	1708	705	494	822	1155	449
W	3836	4247	787	1616		773	1389	1139	1137
Z	2740	13700				1301			345
Y	19591	19591	439	2112	1025	751	1022	1396	702
Z	22331	27263				1096			383
Z	12741	26167				734			368
X	274	5343	463	576			755	1061	1181
Z	11508	11645				1875			692
Z	2055	24523				606			261
Z	6165	25345				729			242
Z	21783	25893				1298			455
Z	1233	25208				545			137
Z	7124	17125				759			369
Y	8357	17536	270	1220	560	401	681	1089	324
Y	1918	2740	464	1387	799	497	991	1485	539
Z	6165	24112				439			157
Y	6165	10001	464	1508	943	518	870	1413	627
Z	822	1096				1523			703
Z	12330	26030				696			267
X	2192	2466	599	709			991	1251	991
Z	20550	26030				1035			468
Z	1233	21509				396			140
X	959	6713	610	692			811	946	1330
Z	1507	17673				740			231
X	3151	6576	801	845			1427	1123	1336
X	12878	16029	545	553			1042	991	1117
Z	137	18769				407			198
Z	6028	22879				749			277
Y	17810	15070	322	1285	546	513	752	1125	376
Z	17125	17399				1652			531
Y	6302	8768	516	1850	872	682	1024	1973	584
X	10823	13837	726	654			1058	1232	1266
Z	24660	25619				1314			433
Z	15618	19865				1144			386
Z	14385	22331				1099			486
Y	2192	12467	247	1082	604	397	596	882	485
Y	4247	12056	225	939	509	293	536	1393	369
Z	959	24112				583			240
Y	11645	16440	334	1356	630	423	740	1325	487
X	10275	15070	667	560			992	1021	1219
Y	20961	20276	592	2049	1262	738	1045	2231	799
X	4110	11097	764	865			1165	1167	1223
Y	6028	21235	138	567	328	246	393	592	226
X	3425	9590	645	910			819	1207	1389
Z	23701	25482				1500			440
Y	2192	9590	293	1489	619	357	755	1152	424
Z	3562	17810				958			310
Y	11645	15618	290	1841	788	545	854	1440	531
Y	12467	13426	433	1622	712	596	1016	1811	568
Z	1507	12193				905			398
X	959	12741	355	362			711	562	874
Y	1781	15207	230	783	405	467	404	884	338
X	0	7124	525	506			755	994	1225
Z	9590	22194				1016			324
Z	6028	27263				292			153
Y	137	3288	282	1142	517	370	537	1310	337
Y	1096	7535	297	1379	561	397	648	1087	419
Z	3014	23427				468			182
Z	12056	19043				1136			389
Y	4521	21235	98	423	209	150	249	437	165
Y	10001	19728	202	1315	640	460	583	819	304
Z	3973	13426				1253			541
Z	1096	7809				1285			596
Z	6165	19865				849			249
X	2877	16166	143	158			254	212	217
Z	1370	8494				1215			467
Z	12467	21098				819			245
X	4658	15344	320	577			525	649	972
Z	5891	8494				1246			449
Z	2055	26030				423			135
Z	2466	13700				1158			319
Y	959	12056	250	639	349	265	491	695	231
Y	4658	15207	233	828	435	276	429	644	360
Y	4658	7398	338	1829	769	509	933	1780	645
Y	8357	12604	331	1623	748	528	824	1358	685
Z	8631	26167				580			195
W	6028	6850	551	1092		557	971	1022	778
Z	8631	24934				554			264
W	411	10823	140	355		172	227	295	322
Y	4795	5891	408	2072	837	598	1057	1610	617
Z	13837	17536				1418			548
Z	6439	20824				919			260
Y	8083	20276	270	1033	487	356	479	858	348
W	6713	9179	464	795		606	748	1155	1156
X	5343	5754	1049	1401			2312	2354	2713
Z	274	5891				1033			385
Y	4658	6302	367	1310	772	695	874	1625	479
X	12604	12878	698	945		602	1117	1225	1412
X	4110	10275	652	663			1138	854	1253
Z	2466	16166				1313			465
X	1096	11234	496	545			659	1002	888
Z	19454	24797				871			326
Y	9590	10686	485	1855	1015	704	1147	1753	541
Y	3288	16440	188	1043	370	239	340	738	256
Z	274	10549				921			341
X	8494	11097	607	739			1048	1149	1463
Z	24934	25208				1700			617
Z	4932	24112				487			171
Y	5891	14796	236	1225	521	377	739	1129	324
Y	20276	15207	542	1700	765	671	768	1428	541
X	1644	5206	707	732			929	905	1167
Z	3699	17810				1193			316
Z	18221	20824				978			403
Z	19043	22742				1236			374
X	7672	16303	361	463				543	763
Y	137	21646	17	238	130	29	286	248	85
W	274	4795	318	825		397	601	525	802
Y	274	18495	134	484	286	176	140	222	178
X	1918	3014	606	605			1100	1033	1218
Z	3014	14111				1669			493
W	274	3699	335	753		375	602	620	568
Z	2466	6028				1587			457
Z	9727	19591				1104			320
Z	8357	17947				960			296
Y	8083	10001	394	1600	779	746	1053	1539	676
W	685	2466	416	851		440	694	715	744
Z	6302	14796				1298			464
Z	10686	25893				975			309
Z	2877	24797				412			133
Z	5480	13563				1173			510
Y	10960	18495	260	1148	439	294	555	777	351
Z	1233	22468				397			91
Z	6302	7535				1540			516
Z	17947	24523				1095			368
Y	6439	9453	495	1923	831	669	984	1578	592
W	959	4247	429	770		421	578	618	585
Z	4795	9864				1487			533
Z	11782	13015				1635			619
Y	685	4521	294	1248	643	511	658	1147	426
Z	18084	23427				1024			379
Y	2329	6302	348	1596	727	546	909	1536	521
X	411	14796	183	168			432	611	449
Y	2329	8631	342	1172	578	526	718	1083	470
Y	11234	19317	229	1074	447	361	441	771	268
W	7261	9179	547	804		583	660	936	745
Y	3288	14796	226	869	465	344	449	660	341
Y	1370	12056	296	825	654	286	590	1060	310
Y	5069	10001	266	1177	628	365	596	1024	364
W	1918	8083	259	373		274	356	306	419
Z	2603	23153				633			230
Z	10960	16577				1444			365
Z	5754	14385				1444			452
X	2192	14796	142	241			370	341	561
X	2329	4658	565	828			1397	1229	1259
Y	10275	19591	267	954	487	450	558	911	312
W	1096	2192	428	864		443	640	685	904
Y	7809	9453	464	1709	967	531	1092	1634	719
Y	3014	4247	371	1205	698	463	620	1321	460
Z	137	21372				295			159
Z	2192	16988				1035			285
X	8768	10823	605	763			1558	1108	1570
Y	3425	4795	413	1560	720	442	831	1573	445
Z	548	13289				785			247
Z	3425	23427				453			179
X	4521	12330	498	685				907	957
X	1370	8357	378	443			591	644	685
Y	6576	16988	273	1098	563	430	629	992	373
W	2877	8494	207	401		243	287	359	296
X	1644	10412	357	470			630	785	928
X	137	13289	188	159			328	526	541
X	5754	7398	850	870			1406	1172	1562
W	4110	7672	413	643		394	668	564	741
Y	8083	20002	351	1227	687	501	831	1138	405
X	10549	13700	537	720			1292	1118	1279
Y	685	5206	353	1502	702	513	836	1390	467
Y	20687	17262	357	1724	695	473	768	1248	526
Z	3973	18632				914			327
Z	274	1096				1821			622
X	6713	10823	1008	877			1461	1259	1822
Z	411	2055				1890			726
X	3836	4932	765	1041			1813	1877	2023
Z	4521	27126				303			108
Z	2466	26304				528			168
Z	5891	25893				707			223
Y	12056	19317	295	1004	563	392	626	1143	300
Y	9316	14659	391	1602	761	606	722	1571	507
Y	5069	19180	206	980	462	238	512	886	263
Z	9179	20824				832			307
Y	8905	21509	277	1030	583	396	616	991	343
Y	11097	12878	430	1452	852	560	828	1284	521
Y	9864	16440	281	1486	555	436	677	1421	534
Z	13015	25208				810			249
X	2055	8494	494	435			730	632	843
Z	5343	18906				933			317
Y	11645	14659	413	1755	902	669	754	1393	567
X	13974	15755	596	689			881	998	1355
X	3973	14385	331	392			744	705	718
Z	16714	22331				1112			362
X	2192	9453	485	449			654	749	639
X	4658	16029	282	402			603	568	594
W	3836	4658	762	1142		639	1234	1318	999
Y	1370	2603	336	1491	615	463	767	1327	453
Z	19317	20687				926			395
Z	3699	14111				1348			513
Z	2466	13563				982			312
Y	4658	12330	266	1109	517	387	577	855	396
Z	18358	18495				1482			402
W	7261	8083	452	971		618	867	854	886
Z	2603	16303				1405			384
Y	4795	20413	119	597	291	170	234	459	205
Z	16440	20687				1113			333
Y	6713	20002	201	739	371	347	434	762	369
Z	9042	17125				1229			403
W	6165	10001	426	872		441	686	708	675
Z	1096	7261				1483			494
Z	9042	22742				753			312
X	1233	16029	174	178			358	473	370
X	7672	8905	438	627			1094	1238	1207
X	3562	13426	423	462			826	678	806
Z	1233	4795				1437			491
Z	1781	14796				844			328
Z	11097	13015				1533			571
Z	15618	23016				1317			527
X	1644	13426	333	259			478	408	499
Z	2192	18221				588			219
Z	3973	7398				1258			447
W	6439	10001	597	1083		476	795	1015	825
Y	4658	9453	341	1439	628	464	659	1280	360
Y	10001	10412	477	2522	996	695	1052	1965	575
X	6850	7261	965	1001			1650	1800	2076
Z	1781	7946				1521			651
Z	3836	5891				1924			518
Z	9316	23838				757			308
Z	2877	21783				749			268
Z	0	3425				1409			450
Y	5480	18632	203	812	505	387	385	867	290
X	4658	9453	612	782			969	1002	1314
Z	18906	22605				1226			408
X	4932	8631	465	829			1243	1395	1230
Z	22468	26167				1228			370
Z	1507	19454				518			159
X	3151	10275	495	639			1021	789	981
Y	10001	16440	318	1166	885	532	651	1314	507
Y	9727	13700	363	1427	596	453	727	1455	443
X	4384	12741	431	596			967	1007	1137
Y	7398	12878	407	1439	933	489	723	1107	384
Z	6302	15892				1193			351
W	1096	3014	440	814		411	590	527	562
Y	6439	17399	296	849	427	339	613	903	333
W	1781	7124	347	646		416	480	475	701
Z	2466	15481				1479			492
Z	1781	10412				1144			460
Z	3973	15892				1039			302
X	9316	12330	559	751				872	1493
Y	5754	7672	518	1782	912	638	1077	1599	627
Z	7261	13837				838			391
X	274	7398	567	702			1127	915	1057
Y	8494	20413	328	1323	509	433	781	1159	398
X	4110	10549	658	832			1246	1502	1605
Z	17399	21920				1308			445
Z	5069	7124				1313			403
Z	959	7535				1584			449
Y	11371	14248	425	1404	644	512	882	1430	494
Z	18769	19591				1074			472
Y	9727	21235	349	1061	808	487	596	1204	477
Z	7398	18769				650			290
Z	4932	25893				564			211
Z	0	15344				1131			341
